title,description,price,variants,id,active
Наименование,Описание,Цена,Варианты товара,,
Корзина под ёлку,"Элегантная корзина под ёлку , с помощью которой вы можете оформить основание ёлки, придаст хвойной красавице невероятно стильный и гармонично завершенный вид и поможет создать в доме атмосферу тепла и уюта",7500,-,1d,TRUE
,,,,,
Настольная ёлка Веста,Миниатюрная ёлка Веста дополнит ваш праздничный интерьер,2600,-,2d,TRUE
,,,,,
Хвойная гирлянда 2.8 метра,Пушистая гирлянда со светлыми кончиками,5500,-,3d,TRUE
,,,,,
Сумка для хранения ёлок,-,1700,120х40х40,4d,TRUE
Сумка для хранения ёлок,-,1900,120х40х60 (+200 ₽),4d,TRUE
,,,,,
Венок «Натуральный»,"Новогодний венок станет идеальным дополнением праздничного антуража! Повесьте венок из хвои на дверь, чтобы каждый день наполнялся праздничным настроением",2400,-,5d,TRUE
