title,category,description,Цена из файла,height_cm,diameter_cm,branches,discount_pct,price,offer,id,photos,active,,Насколько изменилась цена?,,,,,,,
Наименование,Категория,Описание ёлки,Оригинальная цена,Высота,Диаметр,Кол-во веток,% скидки,Цена на сайте,Цена без скидки,,Ссылка на фото,,,0%,,,,,,,
Миранда,Зелёная,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице",31 000 ₽,185 см,110 см,955 шт,-30%,31 000 ₽,44286,1,https://lady-elka.ru/d/img_1948.jpg | https://lady-elka.ru/d/img_1949.jpg | https://lady-elka.ru/d/photo_2025-09-06_22-17-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-07.jpg,TRUE,,,,,,,,,
Миранда,Зелёная,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице",42 000 ₽,215 см,126 см,1315 шт,-30%,42 000 ₽,60000,1,https://lady-elka.ru/d/img_1948.jpg | https://lady-elka.ru/d/img_1949.jpg | https://lady-elka.ru/d/photo_2025-09-06_22-17-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-07.jpg,TRUE,,,,,,,,,
Миранда,Зелёная,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице",51 000 ₽,230 см,134 см,1585 шт,-30%,51 000 ₽,72858,1,https://lady-elka.ru/d/img_1948.jpg | https://lady-elka.ru/d/img_1949.jpg | https://lady-elka.ru/d/photo_2025-09-06_22-17-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-07.jpg,TRUE,,,,,,,,,
Миранда,Зелёная,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице",59 000 ₽,250 см,140 см,1873 шт,-30%,59 000 ₽,84286,1,https://lady-elka.ru/d/img_1948.jpg | https://lady-elka.ru/d/img_1949.jpg | https://lady-elka.ru/d/photo_2025-09-06_22-17-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-07.jpg,TRUE,,,,,,,,,
Миранда,Зелёная,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице",81 000 ₽,270 см,146 см,2431 шт,-30%,81 000 ₽,115715,1,https://lady-elka.ru/d/img_1948.jpg | https://lady-elka.ru/d/img_1949.jpg | https://lady-elka.ru/d/photo_2025-09-06_22-17-08.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg | https://lady-elka.ru/d/photo_2026-09-10_11-29-07.jpg,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Миранда,С освещением,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",37 400 ₽,185 см,110 см,955 шт,-30%,37 400 ₽,53429,1,https://lady-elka.ru/d/photo_2025-09-05_20-57-25.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-57-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Миранда,С освещением,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",56 000 ₽,215 см,126 см,1315 шт,-30%,56 000 ₽,80000,1,https://lady-elka.ru/d/photo_2025-09-05_20-57-25.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-57-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Миранда,С освещением,"Хвоя зеленая, плавно переходящая в светлый тон на концах. Разная длина и уровень расположения веточек приближает Миранду к настоящей лесной красавице. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",64 000 ₽,230 см,134 см,1585 шт,-30%,64 000 ₽,91429,1,https://lady-elka.ru/d/photo_2025-09-05_20-57-25.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-57-30.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
